Population	prediction
Andilambe_Madagascar	Ambilobe_Madagascar_3	354.1062437907667
Andilambe_Madagascar	Ambilobe_Madagascar_3	286.631931368176
Antananarivo_Madagascar	Ambilobe_Madagascar_3	684.1723629348517
Antananarivo_Madagascar	Ambilobe_Madagascar_3	669.3479582940678
Antananarivo_Madagascar	Ambilobe_Madagascar_3	623.2347414785796
Bermudian	Dane_1	6168.926987228989
Bermudian	Ambilobe_Madagascar_3	11698.991912288093
Bermudian	Ambilobe_Madagascar_3	12791.143694247148
Bermudian	Andilambe_Madagascar_0	12849.787697990401
Bermudian	Ambilobe_Madagascar_3	9965.362322184488
Bermudian	Andilambe_Madagascar_0	11069.369679484655
Bermudian	Ambilobe_Madagascar_3	13027.655324621275
Bermudian	Ambilobe_Madagascar_3	12908.674859191833
Bermudian	Andilambe_Madagascar_0	12541.962417565424
Bermudian	Ambilobe_Madagascar_3	12968.995021620905
Bermudian	Andilambe_Madagascar_0	11322.802904265063
Bermudian	Andilambe_Madagascar_0	11489.075530705182
Chechens	Abkhazians_0	289.17389563237845
Chechens	Abkhazians_0	19.576691308501353
Chechens	Abkhazians_0	14.20455766161647
Ezhava	Kapu_0	14.20455766161647
Finnish	Dane_1	1196.1448514384201
Finnish	Dane_1	1196.0344730111865
Finnish	Dane_1	1146.7581147928445
Finnish	Dane_1	1154.674960806156
Finnish	Dane_1	1165.6222209043833
Finnish	Dane_1	1165.3981427010087
Finnish	Dane_1	1145.354317690823
Finnish	Dane_1	1184.736058530714
Finnish	Dane_1	1121.640055383082
Finnish	Dane_1	1168.481597280859
Finnish	Dane_1	1175.0208580489132
Georgian	Abkhazians_0	1175.0208580489132
Georgian	Abkhazians_0	1175.0208580489132
Georgian	Abkhazians_0	1175.0208580489132
German	Dane_1	418.2094010632287
German	Dane_1	466.2366680231786
German	Dane_1	444.49067983565993
German	Dane_1	444.7685631926553
German	Dane_1	420.9466410278893
German	Bulgaria_3	1292.8041766919393
German	Bulgaria_3	1284.5048754041366
German	Dane_1	443.80725570800456
German	Bulgaria_3	1339.378510488714
German	Bulgaria_3	1197.9335170176607
German	Dane_1	435.2379200119637
German	Dane_1	443.9548300623337
German	Bulgaria_3	1331.1519400624932
German	Bulgaria_3	1242.2729032262405
German	Romania_1	1197.8342496286275
Gond_Ori	Binjhal_0	1622.1217039183252
Gond_Ori	Binjhal_0	1363.059602739653
Greek	Bulgaria_1	440.8719172955239
Greek	Bulgaria_1	358.7885397565882
Greek	Bulgaria_1	481.8611625155769
Greek	Bulgaria_1	406.72674041205266
Greek	Bulgaria_1	475.94518447984746
Greek	Bulgaria_1	389.6425147722822
Greek	Bulgaria_1	456.9573151351633
Greek	Bulgaria_1	371.27284223216566
Greek	Bulgaria_1	453.34415141964195
Greek	Bulgaria_1	438.60680063716904
Greek	Bulgaria_1	225.1974675562941
Greek	Bulgaria_1	255.17533262993138
Greek	Bulgaria_1	417.851714644517
Greek	Bulgaria_1	479.81159486155923
Guanajuato_Mexico	AYMARA_URO_0	4136.501262741814
Gujarati	Gaddi_Rajput_0	605.5022128380292
Gujarati	Gaddi_Rajput_0	552.3946931043852
Gujarati	Gaddi_Rajput_0	666.4038311730741
Gujarati	Gaddi_Rajput_0	644.8226888029287
Gujarati	Gaddi_Rajput_0	685.3811080452746
Gujarati	Gaddi_Rajput_0	607.399353851147
Gujarati	Gaddi_Rajput_0	510.7552421505432
Gujarati	Gaddi_Rajput_0	594.5086516632851
Gujarati	Gaddi_Rajput_0	605.9141505446972
Gujarati	Gaddi_Rajput_0	505.03245315063424
Gujarati	Gaddi_Rajput_0	559.1867834222659
Halba	Binjhal_0	5216.912994551176
Hereroland_Namibia	Andriesvale_Northern_Cape_RSA_0	722.9824123453283
Hereroland_Namibia	Bermudian_4	10728.309446334793
Hidalgo_Mexico	AYMARA_URO_0	4555.548962133297
Hidalgo_Mexico	AYMARA_URO_0	4595.012862238463
Hidalgo_Mexico	Guanajuato_Mexico_0	271.947058826577
Hidalgo_Mexico	Guanajuato_Mexico_0	278.57158517945203
Hidalgo_Mexico	AYMARA_URO_0	4680.183990332812
Hidalgo_Mexico	AYMARA_URO_0	4598.520526184916
Hidalgo_Mexico	AYMARA_URO_0	4734.441599453065
Hidalgo_Mexico	Peru_3	3780.362508705605
Iberian	Bulgaria_3	2225.36113358696
Iberian	Bulgaria_3	2168.0390577883795
Iberian	Bulgaria_3	2240.704014917911
Iberian	Bulgaria_3	2234.8029949765705
Iberian	Bulgaria_3	2246.499841764793
Iberian	Bulgaria_3	2247.7592495559334
Iberian	Bulgaria_3	1995.6240141529054
Iberian	Bulgaria_1	2184.401841809805
Iberian	Bulgaria_3	2234.3088710828697
Iberian	Bulgaria_4	2165.3643764205226
Iberian	Bulgaria_3	2244.036464298375
Ingush	Abkhazians_0	169.18453035786962
Ingush	Abkhazians_0	389.84976892502095
Ingush	Abkhazians_0	409.9996118892938
Iran	Abkhazians_0	1385.4095802827508
Iran	Abkhazians_0	1362.7396420033997
Iran	Abkhazians_0	1391.3699057756921
Iran	Abkhazians_0	940.3442051502628
Iran	Abkhazians_0	1349.3413327435787
Iran	Abkhazians_0	1358.7398302708812
Iran	Abkhazians_0	1343.5505925345176
Iran	Abkhazians_0	1395.70568106338
Iran	Abkhazians_0	1182.302103857712
Iran	Abkhazians_0	1359.3851125649303
Iran	Abkhazians_0	1242.5162645971743
Iran	Abkhazians_0	1358.6529204371925
Iran	Abkhazians_0	1401.4786814556346
Iran	Chechens_2	1366.1621397683728
Iran	Abkhazians_0	1395.8496281099522
Italian	Bulgaria_1	873.6165036171155
Italian	Bulgaria_1	871.0125138615758
Italian	Bulgaria_1	875.5126286004743
Italian	Bulgaria_1	864.2135047986358
Italian	Bulgaria_1	843.3596799165313
Italian	Bulgaria_1	876.9327446566305
Italian	Bulgaria_1	878.635398168518
Italian	Bulgaria_1	888.3078855080286
Italian	Bulgaria_1	865.2206600628073
Italian	Bulgaria_1	905.1371623156574
Italian	Bulgaria_1	876.2547171176067
Italian	Bulgaria_1	892.4733926036629
Italian	Bulgaria_1	888.8228121306246
Italian	Bulgaria_1	877.9252025774969
Iyengar_Kar	Gaddi_Rajput_0	2192.382494426694
Japan	Chinese_1	1892.9252556598674
Japan	Chinese_1	1891.9310423396876
Japan	Chinese_1	1891.6544821684245
Japan	Chinese_1	1890.8469907324652
Japan	Chinese_1	1892.4669562853355
Japan	Chinese_1	1892.991067434982
Japan	Chinese_1	1892.9500198764297
Japan	Chinese_1	1892.925764743794
Japan	Chinese_1	1892.7890338027512
Japan	Chinese_1	1853.8580598361045
Japan	Chinese_1	1892.8007979860554
Johannesburg_Gauteng_RSA	Bermudian_4	11299.294645212567
Johannesburg_Gauteng_RSA	Hereroland_Namibia_2	841.4422111446039
Kaokoveld_Namibia	Hereroland_Namibia_2	630.6998434714137
Kaokoveld_Namibia	Hereroland_Namibia_2	763.9894469965086
Kaokoveld_Namibia	Hereroland_Namibia_2	609.8280401769684
Kaokoveld_Namibia	Hereroland_Namibia_2	609.9826793511985
Kapu	Gujarati_1	1160.6943040537155
Kenya	Hereroland_Namibia_2	3046.012259122151
Kenya	Hereroland_Namibia_2	2918.7592452242484
Kenya	Hereroland_Namibia_2	3044.3101182195237
Kenya	Hereroland_Namibia_2	3053.456310210652
Kenya	Hereroland_Namibia_2	3061.670797095321
Kenya	Hereroland_Namibia_2	3065.0762202286264
Kenya	Hereroland_Namibia_2	3057.788880421102
Kenya	Hereroland_Namibia_2	3059.5525470941143
Kenya	Hereroland_Namibia_2	3015.434549857005
Kenya	Hereroland_Namibia_2	3062.992314093386
Kenya	Hereroland_Namibia_2	2924.3343261047476
Kroonstad_Free_State_RSA	Hereroland_Namibia_2	1011.217279683018
Kroonstad_Free_State_RSA	Andilambe_Madagascar_0	2015.7505096305488
Kroonstad_Free_State_RSA	Andilambe_Madagascar_0	2453.449938290085
Kroonstad_Free_State_RSA	Bermudian_4	11707.061174324153
Kuwait	Egypt_2	1640.5842879585266
Kuwait	Egypt_2	1339.0467873426098
Kuwait	Egypt_2	1659.898393851531
Kuwait	Bulgaria_3	2649.851434295798
Kuwait	Abkhazians_0	1038.1478304464054
Kuwait	Abkhazians_0	1453.8637275259664
Kuwait	Abkhazians_0	1075.6594171740187
Kuwait	Egypt_2	1323.7279062723192
Kuwait	Abkhazians_0	1499.0700982670467
Kuwait	Abkhazians_0	1466.4674862708187
Kuwait	Abkhazians_0	1056.1368732627334
Kuwait	Abkhazians_0	1550.0655733834708
Kuwait	Abkhazians_0	1292.526211229714
Kuwait	Egypt_2	1642.844101412697
Kuwait	Abkhazians_0	1205.405774659876
Kuwait	Egypt_2	1564.6651500145833
Kuwait	Abkhazians_0	1324.499156238239
Kuwait	Egypt_2	2116.6905641185485
Lebanon	Abkhazians_0	1279.1981455063221
Lebanon	Abkhazians_0	737.6811300063016
Lebanon	Abkhazians_0	1261.922445704859
Lebanon	Egypt_2	803.3941637435445
Lebanon	Abkhazians_0	1255.453960062917
Lebanon	Abkhazians_0	1332.3530479500314
Lebanon	Abkhazians_0	1190.4866117981887
Lebanon	Egypt_2	904.9130963385695
Lebanon	Egypt_2	916.2823773331734
Lebanon	Egypt_2	919.3572376221489
Lebanon	Egypt_2	906.877985865122
Lebanon	Egypt_2	885.671871979966
Lebanon	Egypt_2	877.5870362383529
Lebanon	Egypt_2	911.3461380163842
Lebanon	Egypt_2	919.7856916432006
Lebanon	Egypt_2	874.4507633015397
Lebanon	Egypt_2	893.0012733054289
Lebanon	Abkhazians_0	1066.8711166173673
Lebanon	Abkhazians_0	1333.3599509994856
Lebanon	Abkhazians_0	1358.276628527807
Lebanon	Abkhazians_0	1347.3738041598456
Lebanon	Egypt_3	875.372233034322
Mahajanga_Madagascar	Ambilobe_Madagascar_3	875.372233034322
Majhbi	Gaddi_Rajput_0	194.71008806692961
Manakara_Madagascar	Ambilobe_Madagascar_3	996.1316529858259
Manakara_Madagascar	Ambilobe_Madagascar_3	1007.7223911109961
Manakara_Madagascar	Ambilobe_Madagascar_3	1008.4801374535348
Manakara_Madagascar	Toliara_Madagascar_2	328.5356424592253
Meitei	Chinese_1	2644.351087007161
Mogaveera	Gujarati_3	2644.351087007161
Mongols	Altaians_3	1563.5107439029173
Mongols	Altaians_3	1906.0246078019843
Mongols	Altaians_3	1653.0790089422549
