Population	Sample_no	Sample_id	Prediction	Lat	Lon
Abkhazians	1	GRC12076288	Abkhazians_0	41.87633211655714	45.99243365724934
Abkhazians	2	GRC12076300	Abkhazians_0	43.10798084250429	45.78197128716109
Abkhazians	3	GRC12076312	Abkhazians_0	[42.94179921]	[38.52282124]
Abkhazians	4	GRC12076324	Abkhazians_0	42.925067055954536	45.98934149619708
Altaians	1	GRC12076232	Altaians_3	45.43020945037193	65.99639773868952
Altaians	2	GRC12076245	Altaians_4	[52.93711263]	[70.85004122]
Altaians	3	GRC12076244	Altaians_3	50.27965302763159	87.18701314259845
Altaians	4	GRC12076256	Altaians_3	50.58776461988907	86.28067848885732
Altaians	5	GRC12076268	Altaians_3	50.528709472015755	86.46311575733071
Altaians	6	GRC12076280	Altaians_3	50.590123673742184	86.27247705489185
Altaians	7	GRC12076292	Altaians_3	50.33042406610261	87.18936587386955
Altaians	8	GRC12076304	Altaians_3	49.63764581461977	88.9638484732372
Altaians	9	GRC12076233	Altaians_3	50.58698422652104	86.22135355349494
Altaians	10	GRC12076257	Altaians_3	50.60977203767703	86.21017676473178
Altaians	11	GRC12076269	Altaians_3	50.60230366169989	86.22005504991543
Altaians	12	GRC12076281	Altaians_3	50.6096488384589	86.21026973747841
Altaians	13	GRC12076293	Altaians_3	50.60475682162028	86.2166100068723
Altaians	14	GRC12076305	Altaians_3	50.60845334886557	86.2112548558298
Altaians	15	GRC12076317	Altaians_4	50.6081481443363	86.2146310689783
Ambilobe_Madagascar	1	GRC12084554	Ambilobe_Madagascar_3	-13.080082957878814	48.582665473863734
Ambilobe_Madagascar	2	GRC12084555	Ambilobe_Madagascar_3	-13.041521439066612	49.009610203052134
Ambilobe_Madagascar	3	GRC12084556	Ambilobe_Madagascar_3	-13.071928508287725	49.130347081762004
Ambilobe_Madagascar	4	GRC12084558	Ambilobe_Madagascar_3	-13.16190554869077	49.281689189710555
Andilambe_Madagascar	1	GRC12084551	Andilambe_Madagascar_0	[-13.90123681]	[39.77723988]
Andilambe_Madagascar	2	GRC12084552	Ambilobe_Madagascar_3	-12.623134515255382	47.35752296681717
Andilambe_Madagascar	3	GRC12084553	Ambilobe_Madagascar_3	-13.449802804861733	49.182474950402366
Antananarivo_Madagascar	1	GRC12084544	Ambilobe_Madagascar_3	-12.862360270103839	48.70897778364229
Antananarivo_Madagascar	2	GRC12084545	Ambilobe_Madagascar_3	-13.122157250583461	49.25191170530957
Antananarivo_Madagascar	3	GRC12084546	Ambilobe_Madagascar_3	-13.520903332746187	49.134808062380486
Bermudian	1	GRC12084574	Dane_1	55.94380688175222	10.02883248058476
Bermudian	2	GRC12084587	Bermudian_1	[34.11802122]	[-56.21468289]
Bermudian	3	GRC12084576	Ambilobe_Madagascar_3	-9.070500995206896	37.539760558993564
Bermudian	4	GRC12084577	Bermudian_1	32.22084403388595	-64.67930412627857
Bermudian	5	GRC12084578	Bermudian_1	32.117811373014476	-63.92921260873418
Bermudian	6	GRC12084588	Ambilobe_Madagascar_3	-12.384678622898903	47.162134789178324
Bermudian	7	GRC12087852	Andilambe_Madagascar_0	-15.02260450433168	46.24704690218289
Bermudian	8	GRC12087856	Ambilobe_Madagascar_3	-2.7768400716829085	23.009987868741142
Bermudian	9	GRC12084575	Andilambe_Madagascar_0	[-8.63529958]	[31.10035342]
Bermudian	10	GRC12084585	Ambilobe_Madagascar_3	-13.103413674617878	49.25438305164775
Bermudian	11	GRC12087853	Ambilobe_Madagascar_3	-12.728644027695486	48.20917899427339
Bermudian	12	GRC12087854	Andilambe_Madagascar_0	-14.021134977164554	43.54867597399729
Bermudian	13	GRC12087857	Ambilobe_Madagascar_3	-12.91556069696076	48.74076015014849
Bermudian	14	GRC12087850	Andilambe_Madagascar_0	[-9.49130624]	[33.27500359]
Bermudian	15	GRC12087851	Andilambe_Madagascar_0	[-10.11982919]	[34.66258059]
Bermudian	16	GRC12087858	Bermudian_4	[29.60392966]	[-59.68683423]
Binjhal	1	GRC12081934	Binjhal_0	22.594527954145434	88.33064310858357
Binjhal	2	GRC12081996	Binjhal_0	22.566762596609113	88.34679157299273
Bulgaria	1	GRC10039197	Bulgaria_1	40.89081664012866	22.649797870108724
Bulgaria	2	GRC11049092	Bulgaria_1	40.71738167506358	22.813291864574087
Bulgaria	3	GRC11069148	Bulgaria_1	41.83901595739462	23.14611031982536
Bulgaria	4	GRC10043360	Bulgaria_1	42.33720201916959	23.042057793859467
Bulgaria	5	GRC10047652	Bulgaria_1	42.2618739176681	23.098838863008048
Bulgaria	6	GRC012601	Bulgaria_1	42.40715239515672	23.179241200783345
Bulgaria	7	GRC10047943	Bulgaria_2	42.4150537554685	23.173117553205877
Bulgaria	8	GRC001411	Bulgaria_1	42.37570817159894	23.11449743740448
Bulgaria	9	GRC008679	Bulgaria_1	42.40901205710541	23.187075138742614
Bulgaria	10	GRC010399	Bulgaria_1	42.34752839804591	23.051863569534913
Bulgaria	11	GRC013817	Bulgaria_1	42.39034721114312	23.124813943090835
Bulgaria	12	GRC014019	Bulgaria_1	42.3508695214105	23.13610969723956
Bulgaria	13	GRC11048780	Bulgaria_1	42.34759022889673	23.189047449784425
Bulgaria	14	GRC11054746	Bulgaria_1	42.32768998465891	22.95779863160124
Bulgaria	15	GRC12093367	Bulgaria_4	42.61816681869717	23.40944900272657
Chechens	1	GRC12076277	Abkhazians_0	43.19840065955943	42.15381742570901
Chechens	2	GRC12076253	Abkhazians_0	43.38922395230591	45.47483121636782
Chechens	3	GRC12076265	Abkhazians_0	43.39212696598532	45.54119493973444
Chechens	4	GRC12076241	Chechens_2	43.30142163614808	45.287445785013155
Chinese	1	GRC12076433	Chinese_1	39.548740901037974	116.21235428916764
Chinese	2	GRC12076434	Chinese_1	39.54261070959329	116.29859027406128
Chinese	3	GRC12076438	Chinese_1	39.54996776252101	116.2003537410309
Chinese	4	GRC12076427	Chinese_1	39.5453462501265	116.26426313646941
Chinese	5	GRC12076431	Chinese_1	39.54930055514917	116.20980792397037
Chinese	6	GRC12076432	Chinese_1	39.53716438900687	116.37947572954992
Chinese	7	GRC12076435	Chinese_1	39.547322104176025	116.23709031022804
Chinese	8	GRC12076428	Chinese_1	39.54530917103643	116.26582048677156
Chinese	9	GRC12076429	Chinese_1	39.54823247935433	116.22535225698532
Chinese	10	GRC12076436	Chinese_1	39.545571794831986	116.26221740541298
Chinese	11	GRC12076430	Chinese_1	39.53703967087778	116.2260718560848
Chinese	12	GRC12076437	Chinese_4	39.51834900008103	116.20396535032022
Dane	1	GRC11074483	Dane_1	55.97039308200733	10.032355896682926
Dane	2	GRC11074486	Dane_1	55.962765153933354	10.052478044448767
Dane	3	GRC11074490	Dane_1	55.86083939974744	10.017137407623299
Dane	4	GRC11074493	Dane_1	55.847174490093686	9.995690967503895
Dane	5	GRC11074494	Dane_1	55.91305226040309	10.723798846460497
Dane	6	GRC11074495	Dane_1	55.98523328523253	10.005358914605194
Dane	7	GRC11074487	Dane_1	55.98391135918217	9.99399708939434
Dane	8	GRC11074496	Dane_1	55.8757057885436	10.109632545421533
Dane	9	GRC11074484	Dane_1	55.84881031909346	10.258615704414575
Dane	10	GRC11074488	Dane_1	55.97377859516416	10.038564554153833
Dane	11	GRC11074489	Dane_1	55.98315971296861	10.032190439555484
Dane	12	GRC11074492	Dane_1	55.940788307914836	10.059763612575138
Dane	13	GRC11074497	Dane_1	55.981247930065294	10.038422698053946
Dane	14	GRC11074485	Dane_1	55.99337445106461	10.012200765763886
Dane	15	GRC11074491	Dane_4	55.98537596117809	10.006600205633932
Egypt	1	GRC12076331	Egypt_2	27.618265139182316	31.513766230996545
Egypt	2	GRC12076343	Egypt_2	26.82587437170011	30.82485704942519
Egypt	3	GRC12076345	Egypt_2	26.832146462855214	30.840385719136
Egypt	4	GRC12076348	Egypt_2	26.844169398861155	30.908060275312035
Egypt	5	GRC12076414	Egypt_2	26.82908297398327	30.838024391501605
Egypt	6	GRC12076328	Egypt_2	26.832649842220942	30.82822939915421
Egypt	7	GRC12076330	Egypt_2	26.825952807833794	30.818715647862764
Egypt	8	GRC12076344	Egypt_2	26.835765381085462	30.852045824960904
Egypt	9	GRC12076347	Egypt_2	26.82475926335161	30.806457016741852
Egypt	10	GRC12076356	Egypt_2	26.830462914737858	30.811662974988693
Egypt	11	GRC12076413	Egypt_2	26.829864334035932	30.811636241590616
Egypt	12	GRC12076329	Egypt_2	26.833109068969247	30.816337004574898
Egypt	13	GRC12076346	Egypt_2	26.86337308696505	30.87566045264029
Egypt	14	GRC12076366	Egypt_2	26.864319139346563	30.85547857119873
Egypt	15	GRC12076370	Egypt_4	26.956843412922805	30.91200689732756
Ezhava	1	GRC12081959	Kapu_0	17.006615788971107	78.36789206172067
Finnish	1	GRC11075025	Dane_1	56.00682199057428	10.012526496831695
Finnish	2	GRC11075031	Dane_1	56.00752683510621	10.013810591846328
Finnish	3	GRC11075032	Dane_1	56.321999960891915	10.589725839157978
Finnish	4	GRC11075033	Dane_1	56.27130714997223	10.49731671273814
Finnish	5	GRC11075035	Dane_1	56.20158096553047	10.368811457552502
Finnish	6	GRC11075027	Dane_1	56.20143348057368	10.375307338047941
Finnish	7	GRC11075028	Dane_1	56.33090813143426	10.6063217617687
Finnish	8	GRC11075036	Dane_1	56.079336725668895	10.146195994000449
Finnish	9	GRC11075026	Dane_1	56.451715340388645	10.960736477557782
Finnish	10	GRC11075029	Dane_1	56.17498265682492	10.35588965806304
Finnish	11	GRC11075030	Dane_1	56.139100368486126	10.265083195269606
Finnish	12	GRC11075034	Finnish_4	63.94399655835469	24.55023542056369
Georgian	1	GRC12076240	Abkhazians_0	42.357003785312976	45.87320033613922
Georgian	2	GRC12076252	Abkhazians_0	42.54856927623009	45.11989470606429
Georgian	3	GRC12076264	Abkhazians_0	43.29141292680156	45.62344218454368
Georgian	4	GRC12076276	Georgians_3	41.36190469652425	44.401883832390496
German	1	GRC11074516	Dane_1	55.81927352513092	10.30626966282673
German	2	GRC11074527	Dane_1	56.52296035095375	11.248744252707874
German	3	GRC11074513	Dane_1	55.993924618479305	10.004170248565838
German	4	GRC11074518	Dane_1	55.99568058251237	10.000718481548114
German	5	GRC11074514	Dane_1	55.79718997138904	10.153643065787216
German	6	GRC11074515	Bulgaria_3	42.723229060601916	22.73786980584824
German	7	GRC11074517	Bulgaria_3	42.76473149056172	22.630930904012917
German	8	GRC11074519	Dane_1	55.98767505127723	10.006907572562842
German	9	GRC11074520	Bulgaria_3	42.423953679244185	23.1742221250145
German	10	GRC11074521	Bulgaria_3	43.20159073082845	21.495448209563584
German	11	GRC11074522	Dane_1	55.91448818391512	10.056668792874085
